SABA ORDER,,MATERIAL'S DESCRIPTION,,BOXES,,CUBIC METERS,,GROSS WEIGHT,,NET WEIGHT,,DIMENSIONS (cm),,
1817-2026 ZONA BF,,BUTTER TABLE TOP Ø500 ,,1,,0.031360000000000006,,13,,11,,0.56,0.56,0.1
,,BUTTER TABLE TOP Ø500 Feet,,1,,0.012138000000000001,,3,,1,,0.17,0.17,0.42
,,BUTTER TABLE TOP Ø850 ,,1,,0.162,,16,,14,,0.9,0.9,0.2
,,BUTTER TABLE TOP Ø850 ,,1,,0.013,,3,,1,,0.17,0.17,0.42
,,METIS  BENCH,,1,,0.644828,,27,,25,,1.63,0.43,0.92
,,CHANCE ARMCHAIR,,1,,0.52,,31,,29,,0.81,0.81,0.8
,,PIXEL BASE 122X82,,1,,0.51336,,29,,27,,1.24,0.45,0.92
,,PIXEL BASE 122X82,,1,,0.51336,,29,,27,,1.24,0.45,0.92
,,PIXEL BASE 122X82,,1,,0.51336,,29,,27,,1.24,0.45,0.92
,,PIXEL BASE 122X82,,1,,0.51336,,29,,27,,1.24,0.45,0.92
,,PIXEL BASE 122X82,,1,,0.51336,,29,,27,,1.24,0.45,0.92
,,PIXEL BASE 122X82,,1,,0.51336,,29,,27,,1.24,0.45,0.92
,,PIXEL BASE 122X82,,1,,0.51336,,29,,27,,1.24,0.45,0.92
,,PIXEL BASE 122X82,,1,,0.51336,,29,,27,,1.24,0.45,0.92
,,PIXEL BASE 122X82,,1,,0.51336,,29,,27,,1.24,0.45,0.92
,,PIXEL BASE 122X82,,1,,0.51336,,29,,27,,1.24,0.45,0.92
,,PIXEL BASE 122X82,,1,,0.51336,,29,,27,,1.24,0.45,0.92
,,PIXEL BASE 122X82,,1,,0.51336,,29,,27,,1.24,0.45,0.92
,,PIXEL BASE 122X82,,1,,0.51336,,29,,27,,1.24,0.45,0.92
,,PIXEL BASE 122X82,,1,,0.51336,,29,,27,,1.24,0.45,0.92
,,PIXEL BASE 122X122 ,,1,,0.72,,58.5,,56.5,,1.34,1.22,0.44
,,PIXEL POUF  42X122,,1,,0.47,,20,,18,,1.22,0.43,0.9
,,PIXEL CUSHIONS ,,3,,0.81,,35,,33,,0.87,0.9,1.03
,,PIXEL BACKREST 122X40X64 H,,1,,0.376875,,34,,32,,1.25,0.45,0.67
,,PIXEL BACKREST 122X40X64 H,,1,,0.376875,,34,,32,,1.25,0.45,0.67
,,PIXEL BACKREST 122X40X64 H,,1,,0.376875,,34,,32,,1.25,0.45,0.67
,,PIXEL BACKREST 122X40X64 H,,1,,0.376875,,34,,32,,1.25,0.45,0.67
,,PIXEL BACKREST 122X40X64 H,,1,,0.376875,,34,,32,,1.25,0.45,0.67
,,PIXEL BACKREST 122X40X64 H,,1,,0.376875,,34,,32,,1.25,0.45,0.67
